Etymon pt-PT	Etymon pt-PT Note	Headword	Transliteration	Urdu 	Urdu Wiktionary	Part of Speech	Pronunciation	Gender	Sense (Wiktionary)	Definition	Example	Source	Wiktionary (Hindi)	Notes	Domain	Lexical field	Grammar	direct singular	oblique singular	vocative singular	direct plural	oblique plural	vocative plural
agosto	August	अगस्त	agasta	اگست	https://en.wiktionary.org/wiki/%D8%A7%DA%AF%D8%B3%D8%AA#Urdu	noun	(Delhi Hindi) IPA(key): /ə.ɡəst̪/, [ɐ.ɡɐst̪]	m.	August	the month of August		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%85%E0%A4%97%E0%A4%B8%E0%A5%8D%E0%A4%A4&searchhws=yes&matchtype=exact	अगस्त			month	masc cons-stem	अगस्त	अगस्त	अगस्त	अगस्त	अगस्तों	अगस्तो
aia	ayah	आया	āyā	آیا‎	https://en.wiktionary.org/wiki/%D8%A2%DB%8C%D8%A7#Urdu	noun	(Delhi Hindi) IPA(key): /ɑː.jɑː/, [äː.jäː]	f.	ayah: nurse maid, nurse	an ayah, children's nurse; lady's maid		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%86%E0%A4%AF%E0%A4%BE&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%86%E0%A4%AF%E0%A4%BE#Hindi			domestic service/child care	fem ā-stem	आया	आया	आया	आयाएँ	आयाओं	आयाओ
alfinete	alfinete ( ← A.): ? × pin (English); pin	आलपीन	ālapīn 	آلپ 		noun	(Delhi Hindi) IPA(key): /ɑːl.piːn/, [äːl.pĩːn]	f.	safety pin & a pin	a pin		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%86%E0%A4%B2%E0%A4%AA%E0%A5%80%E0%A4%A8&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%86%E0%A4%B2%E0%A4%AA%E0%A5%80%E0%A4%A8				fem cons-stem	आलपीन	आलपीन	आलपीन	आलपीनें	आलपीनों	आलपीनो
ananás	pineapple	अनन्नास	anannāsa	انناس	https://en.wiktionary.org/wiki/%D8%A7%D9%86%D9%86%D8%A7%D8%B3#Urdu	noun	(Delhi Hindi) IPA(key): /ə.nən.nɑːs/, [ɐ.nɐ̃n.näːs]	m.	pineapple (fruit)	the pineapple plant and its fruit		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%85%E0%A4%A8%E0%A4%A8%E0%A5%8D%E0%A4%A8%E0%A4%BE%E0%A4%B8&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%85%E0%A4%A8%E0%A4%A8%E0%A5%8D%E0%A4%A8%E0%A4%BE%E0%A4%B8		botany	fruit	masc cons-stem	अनन्नास	अनन्नास	अनन्नास	अनन्नास	अनन्नासों	अनन्नासो
armário	cupboard; wardrobe	अलमारी	alamārī	اَلْماری	https://en.wiktionary.org/wiki/%D8%A7%D9%84%D9%85%D8%A7%D8%B1%DB%8C#Urdu	noun	(Delhi Hindi) IPA(key): /əl.mɑː.ɾiː/, [ɐl.mäː.ɾiː]	f.	cupboard, shelf; almirah	1. cupboard. 2. wardrobe. 3. bookcase		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%85%E0%A4%B2%E0%A4%AE%E0%A4%BE%E0%A4%B0%E0%A5%80&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%85%E0%A4%B2%E0%A4%AE%E0%A4%BE%E0%A4%B0%E0%A5%80			furniture	fem ī-stem	अलमारी	अलमारी	अलमारी	अलमारियाँ	अलमारियों	अलमारियो
balde	bucket	बालटी	bālaṭī	بالٹی	https://en.wiktionary.org/wiki/%D8%A8%D8%A7%D9%84%D9%B9%DB%8C#Urdu	noun	(Delhi Hindi) IPA(key): /bɑːl.ʈiː/, [bäːl.ʈiː]	f.	bucket, container	a bucket		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%AC%E0%A4%BE%E0%A4%B2%E0%A4%9F%E0%A5%80&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%AC%E0%A4%BE%E0%A4%B2%E0%A4%9F%E0%A5%80	alternative form बाल्टी			fem ī-stem	बालटी	बालटी	बालटी	बालटियाँ	बालटियों	बालटियो
baptismo	baptism	बाप्तिस्मा	bāptismā	بمبہ	https://en.wiktionary.org/wiki/%D8%A8%D9%85%D8%A8%DB%81	noun	(Delhi Hindi) IPA(key): /bɑːp.t̪ɪs.mɑː/, [bäːp.t̪ɪs.mäː]	m.	(Christianity) baptism	baptism		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%AC%E0%A4%BE%E0%A4%AA%E0%A5%8D%E0%A4%A4%E0%A4%BF%E0%A4%B8%E0%A5%8D%E0%A4%AE%E0%A4%BE&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%AC%E0%A4%BE%E0%A4%AA%E0%A5%8D%E0%A4%A4%E0%A4%BF%E0%A4%B8%E0%A5%8D%E0%A4%AE%E0%A4%BE		religion		masc ā-stem	बाप्तिस्मा	बाप्तिस्मे	बाप्तिस्मे	बाप्तिस्मे	बाप्तिस्मों	बाप्तिस्मो
botelha	bottle	बोतल	bōtala	بوتَل		noun	IPA(key): [ˈbo(ː)t̪əl̪]	f.	bottle	bottle. — (उसने)~ चढ़ाई है, he is drunk. — बोतल-ख़ाना, m. pantry.		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%AC%E0%A5%8B%E0%A4%A4%E0%A4%B2&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%AC%E0%A5%8B%E0%A4%A4%E0%A4%B2			object	fem cons-stem	बोतल	बोतल	बोतल	बोतलें	बोतलों	बोतलो
caju		काजू	kājū	کاجو⁩		noun	(Delhi Hindi) IPA(key): /kɑː.d͡ʒuː/, [käː.d͡ʒuː]	m.	cashew nut				https://en.wiktionary.org/wiki/%E0%A4%95%E0%A4%BE%E0%A4%9C%E0%A5%82#Hindi				masc ū-stem	काजू	काजू	काजू	काजू	काजुओं	काजुओ
câmara		कमरा	kamarā	کِران٘چی	https://en.wiktionary.org/wiki/%DA%A9%D9%85%D8%B1%DB%81#Urdu	noun	(Delhi Hindi) IPA(key): /kəm.ɾɑː/, [kɐ̃m.ɾäː]	m.	room	1. a room. 2. hall, chamber (of a public building). 3. compartment. — बंद कमरे में, adv. Law. in camera.	तेरा सामान मेरे कमरे में है। terā sāmān mere kamre mẽ hai. Your things are in my room.	https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%95%E0%A4%AE%E0%A4%B0%E0%A4%BE&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%95%E0%A4%AE%E0%A4%B0%E0%A4%BE				masc ā-stem	कमरा	कमरे	कमरे	कमरे	कमरों	कमरो
carraguem		किराँची	kirām̐cī	کِران٘چی		noun	(Delhi Hindi) IPA(key): /kɪ.ɾɑ̃ː.t͡ʃiː/, [kɪ.ɾä̃ː.t͡ʃiː]	f.	a cart used to carry loads, carriage of goods train & bullock cart	reg. (W.). a two-wheeled covered cart.		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%95%E0%A4%BF%E0%A4%B0%E0%A4%BE%E0%A4%81%E0%A4%9A%E0%A5%80&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%95%E0%A4%BF%E0%A4%B0%E0%A4%BE%E0%A4%81%E0%A4%9A%E0%A5%80				fem ī-stem	किराँची	किराँची	किराँची	किराँचियाँ	किराँचियों	किराँचियो
chave		चाबी	cābī	چابی	https://en.wiktionary.org/wiki/%DA%86%D8%A7%D8%A8%DB%8C#Urdu	noun	(Delhi Hindi) IPA(key): /t͡ʃɑː.biː/, [t͡ʃäː.biː]	f.	key 	1. a key. 2. a wedge. — ~ देना, or भरना, or लगाना (में), to wind up (as a clock); to lock.		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%9A%E0%A4%BE%E0%A4%AC%E0%A5%80&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%9A%E0%A4%BE%E0%A4%AC%E0%A5%80	alternative form चाभी (cābhī)		object	fem ī-stem	चाबी	चाबी	चाबी	चाबियाँ	चाबियों	चाबियो
couve		गोभी	gobhī	گوبھی	https://en.wiktionary.org/wiki/%DA%AF%D9%88%D8%A8%DA%BE%DB%8C#Urdu	noun	(Delhi Hindi) IPA(key): /ɡoː.bʱiː/	f 	cabbage & cauliflower		सब्ज़ी मंडी से बंद गोभी ज़रूर ख़रीदना। sabzī maṇḍī se band gobhī zarūr xarīdnā. Be sure to buy some cabbage from the vegetable market.	https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%97%E0%A5%8B%E0%A4%AD%E0%A5%80&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%97%E0%A5%8B%E0%A4%AD%E0%A5%80#Hindi	Some believe a derivative from Sanskrit गोजीह्विका (gojīhvikā), but is unlikely.			fem ī-stem	गोभी	गोभी	गोभी	गोभियाँ	गोभियों	गोभियो
cristão	cristão; × H. musalmān, P. naṣrān	क्रिस्तान	kristāna			noun	(Delhi Hindi) IPA(key): /kɾɪs.t̪ɑːn/, [kɾɪs.t̪ä̃ːn]	m., f.	christian	a Christian. — ~ हो जाना, to become a Christian.		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%95%E0%A5%8D%E0%A4%B0%E0%A4%BF%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A4%BE%E0%A4%A8&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%95%E0%A5%8D%E0%A4%B0%E0%A4%BF%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A4%BE%E0%A4%A8		religion								
cruz		क्रूस	krūsa	⁧کْرُوس⁩		noun	(Delhi Hindi) IPA(key): /kɾuːs/	m.	the cross on which Jesus Christ was crucified & crucifix, cross	a cross		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%95%E0%A5%8D%E0%A4%B0%E0%A5%82%E0%A4%B8&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%95%E0%A5%8D%E0%A4%B0%E0%A5%82%E0%A4%B8#Hindi		Christianity	Religion	masc cons-stem	क्रूस	क्रूस	क्रूस	क्रूस	क्रूसों	क्रूसो
da Silva		डीसिल्वा	ḍīsilvā	⁧ڈی سلوا⁩		proper noun	(Delhi Hindi) IPA(key): /ɖiː.sɪl.ʋɑː/, [ɖiː.sɪl.ʋäː]	 m or f by sense	a surname from Portuguese, equivalent to English D'Silva or Desilva				https://en.wiktionary.org/wiki/%E0%A4%A1%E0%A5%80%E0%A4%B8%E0%A4%BF%E0%A4%B2%E0%A5%8D%E0%A4%B5%E0%A4%BE#Hindi										
dezembro	December	दिसंबर	disambara	دسمبر⁩ 		noun	(Delhi Hindi) IPA(key): /d̪ɪ.səm.bəɾ/, [d̪ɪ.sɐ̃m.bɐɾ]	m.	December	December		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%A6%E0%A4%BF%E0%A4%B8%E0%A4%82%E0%A4%AC%E0%A4%B0&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%A6%E0%A4%BF%E0%A4%B8%E0%A4%82%E0%A4%AC%E0%A4%B0	English?		month	masc cons-stem	दिसंबर	दिसंबर	दिसंबर	दिसंबर	दिसंबरों	दिसंबरो
espada	steel	इस्पात	ispāta	اسپات	https://en.wiktionary.org/wiki/%D8%A7%D8%B3%D9%BE%D8%A7%D8%AA#Urdu	noun	(Delhi Hindi) IPA(key): /ɪs.pɑːt̪/, [ɪs.päːt̪]	m.	steel	steel		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%87%E0%A4%B8%E0%A5%8D%E0%A4%AA%E0%A4%BE%E0%A4%A4&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%87%E0%A4%B8%E0%A5%8D%E0%A4%AA%E0%A4%BE%E0%A4%A4			object							
estábulo	estábulo; A. ist̤abal: ← L., Gk	अस्तबल	astabala	اَصْطَبَل	https://en.wiktionary.org/wiki/%D8%A7%D8%B5%D8%B7%D8%A8%D9%84#Urdu	noun	(Delhi Hindi) IPA(key): /əs.t̪ə.bəl/, [ɐs.t̪ɐ.bɐl]	m.	stable (for a horse)	1. stable. 2. lumber-room, junk-room.	घोड़े को अस्तबल में लेकर खाना दो। ghoṛe ko astabal mẽ lekar khānā do. Take the horse to the stable and give it some food.	https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%85%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A4%AC%E0%A4%B2&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%85%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A4%AC%E0%A4%B2	Persian?			masc cons-stem	अस्तबल	अस्तबल	अस्तबल	अस्तबल	अस्तबलों	अस्तबलो
estirar		इस्तरी	istarī	استری	https://en.wiktionary.org/wiki/%D8%A7%D8%B3%D8%AA%D8%B1%DB%8C#Urdu	noun	(Delhi Hindi) IPA(key): /ɪs.t̪ɾiː/	f.	iron, press	1. an iron. 2. ironing. — ~ करना, to iron.		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%87%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A4%B0%E0%A5%80&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%87%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A5%8D%E0%A4%B0%E0%A5%80				fem ī-stem	इस्त्री	इस्त्री	इस्त्री	इस्त्रियाँ	इस्त्रियों	इस्त्रियो
