Etymon pt-PT	Etymon pt-PT Note	Headword	Transliteration	Urdu 	Part of Speech	Pronunciation	Gender	Sense (Wiktionary)	Definition	Notes	Domain	Lexical field	Grammar	direct singular	oblique singular	vocative singular	direct plural	oblique plural	vocative plural
agosto	August	अगस्त	agasta	اگست	noun	(Delhi Hindi) IPA(key): /ə.ɡəst̪/, [ɐ.ɡɐst̪]	m.	August	the month of August			month	masc cons-stem	अगस्त	अगस्त	अगस्त	अगस्त	अगस्तों	अगस्तो
aia	ayah	आया	āyā	آیا‎	noun	(Delhi Hindi) IPA(key): /ɑː.jɑː/, [äː.jäː]	f.	ayah: nurse maid, nurse	an ayah, children's nurse; lady's maid			domestic service/child care	fem ā-stem	आया	आया	आया	आयाएँ	आयाओं	आयाओ
alfinete	alfinete ( ← A.): ? × pin (English); pin	आलपीन	ālapīn 	آلپ 	noun	(Delhi Hindi) IPA(key): /ɑːl.piːn/, [äːl.pĩːn]	f.	safety pin & a pin	a pin				fem cons-stem	आलपीन	आलपीन	आलपीन	आलपीनें	आलपीनों	आलपीनो
ananás	pineapple	अनन्नास	anannāsa	انناس	noun	(Delhi Hindi) IPA(key): /ə.nən.nɑːs/, [ɐ.nɐ̃n.näːs]	m.	pineapple (fruit)	the pineapple plant and its fruit		botany	fruit	masc cons-stem	अनन्नास	अनन्नास	अनन्नास	अनन्नास	अनन्नासों	अनन्नासो
armário	cupboard; wardrobe	अलमारी	alamārī	اَلْماری	noun	(Delhi Hindi) IPA(key): /əl.mɑː.ɾiː/, [ɐl.mäː.ɾiː]	f.	cupboard, shelf; almirah	1. cupboard. 2. wardrobe. 3. bookcase			furniture	fem ī-stem	अलमारी	अलमारी	अलमारी	अलमारियाँ	अलमारियों	अलमारियो
balde	bucket	बालटी	bālaṭī	بالٹی	noun	(Delhi Hindi) IPA(key): /bɑːl.ʈiː/, [bäːl.ʈiː]	f.	bucket, container	a bucket	alternative form बाल्टी			fem ī-stem	बालटी	बालटी	बालटी	बालटियाँ	बालटियों	बालटियो
baptismo	baptism	बाप्तिस्मा	bāptismā	بمبہ	noun	(Delhi Hindi) IPA(key): /bɑːp.t̪ɪs.mɑː/, [bäːp.t̪ɪs.mäː]	m.	(Christianity) baptism	baptism		religion		masc ā-stem	बाप्तिस्मा	बाप्तिस्मे	बाप्तिस्मे	बाप्तिस्मे	बाप्तिस्मों	बाप्तिस्मो
botelha	bottle	बोतल	bōtala	بوتَل	noun	IPA(key): [ˈbo(ː)t̪əl̪]	f.	bottle	bottle. — (उसने)~ चढ़ाई है, he is drunk. — बोतल-ख़ाना, m. pantry.			object	fem cons-stem	बोतल	बोतल	बोतल	बोतलें	बोतलों	बोतलो
caju		काजू	kājū	کاجو⁩	noun	(Delhi Hindi) IPA(key): /kɑː.d͡ʒuː/, [käː.d͡ʒuː]	m.	cashew nut					masc ū-stem	काजू	काजू	काजू	काजू	काजुओं	काजुओ
câmara		कमरा	kamarā	کِران٘چی	noun	(Delhi Hindi) IPA(key): /kəm.ɾɑː/, [kɐ̃m.ɾäː]	m.	room	1. a room. 2. hall, chamber (of a public building). 3. compartment. — बंद कमरे में, adv. Law. in camera.				masc ā-stem	कमरा	कमरे	कमरे	कमरे	कमरों	कमरो
carraguem		किराँची	kirām̐cī	کِران٘چی	noun	(Delhi Hindi) IPA(key): /kɪ.ɾɑ̃ː.t͡ʃiː/, [kɪ.ɾä̃ː.t͡ʃiː]	f.	a cart used to carry loads, carriage of goods train & bullock cart	reg. (W.). a two-wheeled covered cart.				fem ī-stem	किराँची	किराँची	किराँची	किराँचियाँ	किराँचियों	किराँचियो
chave		चाबी	cābī	چابی	noun	(Delhi Hindi) IPA(key): /t͡ʃɑː.biː/, [t͡ʃäː.biː]	f.	key 	1. a key. 2. a wedge. — ~ देना, or भरना, or लगाना (में), to wind up (as a clock); to lock.	alternative form चाभी (cābhī)		object	fem ī-stem	चाबी	चाबी	चाबी	चाबियाँ	चाबियों	चाबियो
couve		गोभी	gobhī	گوبھی	noun	(Delhi Hindi) IPA(key): /ɡoː.bʱiː/	f 	cabbage & cauliflower		Some believe a derivative from Sanskrit गोजीह्विका (gojīhvikā), but is unlikely.			fem ī-stem	गोभी	गोभी	गोभी	गोभियाँ	गोभियों	गोभियो
cristão	cristão; × H. musalmān, P. naṣrān	क्रिस्तान	kristāna		noun	(Delhi Hindi) IPA(key): /kɾɪs.t̪ɑːn/, [kɾɪs.t̪ä̃ːn]	m., f.	christian	a Christian. — ~ हो जाना, to become a Christian.		religion								
cruz		क्रूस	krūsa	⁧کْرُوس⁩	noun	(Delhi Hindi) IPA(key): /kɾuːs/	m.	the cross on which Jesus Christ was crucified & crucifix, cross	a cross		Christianity	Religion	masc cons-stem	क्रूस	क्रूस	क्रूस	क्रूस	क्रूसों	क्रूसो
da Silva		डीसिल्वा	ḍīsilvā	⁧ڈی سلوا⁩	proper noun	(Delhi Hindi) IPA(key): /ɖiː.sɪl.ʋɑː/, [ɖiː.sɪl.ʋäː]	 m or f by sense	a surname from Portuguese, equivalent to English D'Silva or Desilva											
dezembro	December	दिसंबर	disambara	دسمبر⁩ 	noun	(Delhi Hindi) IPA(key): /d̪ɪ.səm.bəɾ/, [d̪ɪ.sɐ̃m.bɐɾ]	m.	December	December	English?		month	masc cons-stem	दिसंबर	दिसंबर	दिसंबर	दिसंबर	दिसंबरों	दिसंबरो
espada	steel	इस्पात	ispāta	اسپات	noun	(Delhi Hindi) IPA(key): /ɪs.pɑːt̪/, [ɪs.päːt̪]	m.	steel	steel			object							
estábulo	estábulo; A. ist̤abal: ← L., Gk	अस्तबल	astabala	اَصْطَبَل	noun	(Delhi Hindi) IPA(key): /əs.t̪ə.bəl/, [ɐs.t̪ɐ.bɐl]	m.	stable (for a horse)	1. stable. 2. lumber-room, junk-room.	Persian?			masc cons-stem	अस्तबल	अस्तबल	अस्तबल	अस्तबल	अस्तबलों	अस्तबलो
estirar		इस्तरी	istarī	استری	noun	(Delhi Hindi) IPA(key): /ɪs.t̪ɾiː/	f.	iron, press	1. an iron. 2. ironing. — ~ करना, to iron.				fem ī-stem	इस्त्री	इस्त्री	इस्त्री	इस्त्रियाँ	इस्त्रियों	इस्त्रियो
fita		फ़ीता	fītā	 ⁧فیتہ⁩	noun	(Delhi Hindi) IPA(key): /fiː.t̪ɑː/, [fiː.t̪äː], /pʰiː.t̪ɑː/, [pʰiː.t̪äː]	m.	lace; shoelace & tape; tape measure & ribbon	1. lace (as of a shoe). 2. tape. 3. ribbon. — लाल ~, m. red tape.				masc ā-stem	फ़ीता	फ़ीते	फ़ीते	फ़ीते	फ़ीतों	फ़ीतो
gentio		जेंटू	jẽṭū	⁧جینٹو⁩	noun	(Delhi Hindi) IPA(key): /d͡ʒẽː.ʈuː/	m.	Gentoo					masc ū-stem	जेंटू	जेंटू	जेंटू	जेंटू	जेंटुओं	जेंटुओ
holandês		ओलंदेज़	olandez	ولندیز	noun	(Delhi Hindi) IPA(key): /oː.lən.d̪eːz/, [oː.lɐ̃n̪.d̪eːz], /oː.lən.d̪eːd͡ʒ/, [oː.lɐ̃n̪.d̪eːd͡ʒ]	m or f by sense	(dated) Dutchman; citizen of Holland 											
hospital		अस्पताल	aspatāla	اَسْپَتال⁩	noun	(Delhi Hindi) IPA(key): /əs.pə.t̪ɑːl/, [ɐs.pɐ.t̪äːl]	m.	hospital	hospital				masc cons-stem	अस्पताल	अस्पताल	अस्पताल	अस्पताल	अस्पतालों	अस्पतालो
igreja		गिरजा	girajā	⁧گِرْجا⁩	noun	(Delhi Hindi) IPA(key): /ɡɪɾ.d͡ʒɑː/, [ɡɪɾ.d͡ʒäː]	m.	church & chapel	a church; chapel. — गिरजा-घर, m. a church.	alternative form: गिर्जा	Christianity	religion	masc ā-stem	गिरजा	गिरजे	गिरजे	गिरजे	गिरजों	गिरजो
inglês	Englishman	अँग्रेज़	am̐grēz		noun	(Delhi Hindi) IPA(key): /əŋ.ɡɾeːz/, [ɐ̃ŋ.ɡɾeːz], /əŋ.ɡɾeːd͡ʒ/, [ɐ̃ŋ.ɡɾeːd͡ʒ]	m.	English person (Englishman or Englishwoman)	an Englishman										
inglês	Englishman	अंग्रेज़	aṅgrez		noun	(Delhi Hindi) IPA(key): /əŋ.ɡɾeːz/, [ɐ̃ŋ.ɡɾeːz], /əŋ.ɡɾeːd͡ʒ/, [ɐ̃ŋ.ɡɾeːd͡ʒ]	m or f by sense 	English person (Englishman or Englishwoman)	an Englishman										
janela		जंगला	jaṅglā	جَن٘گْلا⁩	noun	(Delhi Hindi) IPA(key): /d͡ʒəŋ.ɡlɑː/, [d͡ʒɐ̃ŋ.ɡläː]	m.	fencing, railing & grille-fitted window					masc ā-stem	जंगला	जंगले	जंगले	जंगले	जंगलों	जंगलो
leilão	leilão: ← A. (al) a'lām	नीलाम	nīlāma	 ⁧نیلام⁩	noun	(Delhi Hindi) IPA(key): /niː.lɑːm/, [niː.lä̃ːm]	m. & adv.	auction (a public event where goods are sold through bidding)	1. m. an auction. 2. adv. by auction; at auction. — ~ करना, or कराना, to sell by auction. ~ ख़रीदना, to buy at auction. ~ पर चढ़ना				masc cons-stem	नीलाम	नीलाम	नीलाम	नीलाम	नीलामों	नीलामो
martelo		मारतौल	mārataula	مارتول	noun	(Delhi Hindi) IPA(key): /mɑːɾ.t̪ɔːl/, [mäːɾ.t̪ɔːl]	m.	a heavy hammer, hammer 	obs. a heavy hammer.	alternative मार्तोल (mārtol), मारतोल (mārtol)			masc cons-stem	मारतौल	मारतौल	मारतौल	मारतौल	मारतौलों	मारतौलो
martelo		मार्तोल	mārtol		noun		m	hammer											
masto		मस्तूल	mastūla		noun		m.	mast	mast										
mestre		मिस्तरी	mistarī		noun		m.	skilled tradesman	a skilled tradesman; mechanic. — मिस्तरी-ख़ाना, m. workshop.	alternative spelling मिस्त्री									
mestre		मिस्त्री	mistrī	 ⁧مِسْتْری⁩	noun	(Delhi Hindi) IPA(key): /mɪs.t̪ɾiː/	m.	mechanic & artisan, craftsman	a skilled tradesman; mechanic. — मिस्तरी-ख़ाना, m. workshop.	alternative spelling मिस्तरी			masc ī-stem	मिस्त्री	मिस्त्री	मिस्त्री	मिस्त्री	मिस्त्रियों	मिस्त्रियो
outubro	October	अक्तूबर	aktūbara	اَکْتُوبَر⁩	noun	(Delhi Hindi) IPA(key): /ək.t̪uː.bəɾ/, [ɐk.t̪uː.bɐɾ]	m.	October	October	English?		month							
padre		पादरी	pādarī	پادْری⁩	noun	(Delhi Hindi) IPA(key): /pɑːd̪.ɾiː/, [päːd̪.ɾiː]	m.	Christian priest or minister; chaplain.	1. Christian priest or minister; chaplain. 2. missionary.		religion		masc ī-stem	पादरी	पादरी	पादरी	पादरी	पादरियों	पादरियो
pipa		पीपा	pīpā	پیپا	noun	(Delhi Hindi) IPA(key): /piː.pɑː/, [piː.päː]	m.	cylinder, barrel, cask	1. a cask, barrel. 2. cylinder (of gas). 3. engin. a pontoon.			object	masc ā-stem	पीपा	पीपे	पीपे	पीपे	पीपों	पीपो
pistola		पिस्तौल	pistaula	پسطول	noun	(Delhi Hindi) IPA(key): /pɪs.t̪ɔːl/	f.	pistol, gun	a pistol; revolver.			object	fem cons-stem	पिस्तौल	पिस्तौल	पिस्तौल	पिस्तौलें	पिस्तौलों	पिस्तौलो
pompa		बंबा	bambā	بمبہ⁩	noun	(Delhi Hindi) IPA(key): /bəm.bɑː/, [bɐ̃m.bäː]	m.	pump; water pump & channel, narrow river, creek	1. a pump. 2. reg. (W.). a water-channel.				masc ā-stem	बंबा	बंबे	बंबे	बंबे	बंबों	बंबो
saia		साया	sāyā	سایہ⁩	noun	(Delhi Hindi) IPA(key): /sɑː.jɑː/, [säː.jäː]	m.	petticoat	petticoat, undershirt.			clothing	masc ā-stem	साया	साए, साये	साए, साये	साए, साये	सायों	सायो
salsaparrilha		सालसा	sālasā		noun	(Delhi Hindi) IPA(key): /sɑːl.sɑː/, [säːl.säː]	m.	Indian sarsparilla	Indian sarsparilla, Hemidesmus indicus (= अनंत-मूल).		botany								
setembro	September	सितंबर	sitambara				m.	September	September			month							
toalha	Towel	तौलिया	tauliyā	تَولِیَہ⁩	noun	(Delhi Hindi) IPA(key): /t̪ɔː.lɪ.jɑː/, [t̪ɔː.li.jäː]	m.	towel					masc ā-stem	तौलिया	तौलिए, तौलिये	तौलिए, तौलिये	तौलिए, तौलिये	तौलियों	तौलियो
varanda	varanda; w. P. bar āmada 'come forth'	बरामदा	barāmadā	برامدا	noun	(Delhi Hindi) IPA(key): /bə.ɾɑːm.d̪ɑː/, [bɐ.ɾä̃ːm.d̪äː]	m.	verandah	verandah; balcony.				masc ā-stem	बरामदा	बरामदे	बरामदे	बरामदे	बरामदों	बरामदो