Etymon pt-PT Note	Etymon pt-PT	Transliteration	Etymology Free	Headword	urTenTen18	urTenTen18 Relative	Headword Hindi	Part of Speech	Gender	Pronunciation	Sense (Wiktionary)	Variant	Headword (Ur)	Domain	Grammar	direct singular	oblique singular	vocative singular	direct plural	oblique plural	vocative plural	Etymon pt-PT_1
	achar	ācār	pt achar (Source: Dalgado) .	اچار	441	1.61	अचार	noun	m.	(Standard Urdu) IPA(key): /ə.t͡ʃɑːɾ/	achar (a spicy and salty pickle of Indian cuisine)		اچار									
	agosto	agast	en August (Source: Platts) .	اگست	26,735	97.84	अगस्त	noun	m.	(Standard Urdu) IPA(key): /ə.ɡəst̪/	August		اگست									
	aia	āyā	pt aia (Source: Dalgado, Fallon, Platts) .	آیا‎	0		आया	noun	f.	(Standard Urdu) IPA(key): /ɑː.jɑː/	ayah: nurse maid, nurse											
	alfinete	ālpin	pt alfinete (Source: Dalgado, Fallon, Platts, Qureshi)  .	آلپین	1	< 0.01	आलपीन	noun	f.		safety pin & a pin											
	ambar	ambar	pt ambar (Source: Dalgado) | arعنبر [corr. of] (Source: Dalgado, Platts) .	عنبر			अंबर	noun	m.		ambergris perfume											
	amen	āmīn	pt amen (Source: Dalgado) | ar آمين ‘amen’ (Source: Dalgado, Platts) .	آمین			आमीन	interjection			amen											
	ananás	anannās	pt ananás ‘pineapple’ (Source: Dalgado, Fallon, Platts) .	انناس	309	1.13	अनन्नास	noun	m.		pineapple (fruit)		انناس									
	anis	anīsun	pt ? anis (Source: Dalgado) | grc ἄνισον ‘anise (Pimpinella anisum)’ (Source: Dalgado) | la anisum ‘anise (Pimpinella anisum)’  (Source: Dalgado) . 	اَنِیسُون	14	0.05	अनीसून	noun	m.		aniseed		اَنِیسُون									
	armário	almārī	pt armário [semantic broadening] (Source: Dalgado, Fallon, Platts) .	اَلْماری	1,226	4.49	अलमारी	noun	f.	(Standard Urdu) IPA(key): /əl.mɑː.ɾiː/	cupboard, shelf; almirah		اَلْماری			الماری⁩	الماری⁩	الماری⁩	الماریاں	الماریوں	الماریو	
	arrátel	ratal	pt arrátel (Source: Dalgado) | ar rat̤l (Source: Qureshi) .	رطل	53	0.19	रतल	noun	m.		a pound weight		رطل									
	bacia ou bacio	basan	pt bacia, bacio (Source: Dalgado) | sa भाजन ‘(arithmetic) dividing, sharing' & 'a vessel, pot, plate, cup (Source: Dalgado) | sa वासन (Source: Platts) .	باسن			बासन	noun	m.		pot; any container 											
	bafo	bhāp	pt ? bafo (Source: Dalgado) | sa वाष्प (Source: Dalgado, Platts) | pra वप्फो (Source: Platts) .	بھاپ	645	2.36	भाप	noun	m.	(Standard Urdu) IPA(key): /bʱɑːp/	steam, water vapour  & vapour, gas		بھاپ									
	baixel	bajrā	pt ? baixel (Source: Dalgado) | ar بغلة (Source: Dalgado) | sa वज्र+कः (Source: Platts) .	بجرا	35	0.13	बजरा	noun	m.		A kind of boat commonly used for travelling; a large kind of pleasure-boat (round-bottomed and keel-less, — commonly called 'budgerow').		بجرا									
	balde	bālṭī	pt balde (Source: Dalgado) | sa  वारि+धि? (Source: Platts) .	بالٹی	806	2.95	बालटी	noun	f.		bucket, container		بالٹی									
	baptismo	baptisma	pt ? baptismo (Source: Dalgado) | grc βάπτισμα (Source: Platts) .	باپتسما 			बाप्तिस्मा	noun	m. 		(Christianity) baptism		بمبہ									
	basta	bas	pt basta (Source: Dalgado) | fa بس ‘enough, sufficiently' (Source: Dalgado, Qureshi) .	بس	77,433	283.38	बस	adv.		(Standard Urdu) IPA(key): /bəs/	merely, only		بس									
	beringela	baingan	pt beringela (Source: Dalgado) | sa वङ्गन  (Source: Platts) |  fa بادنجان (Source: Soares) .	بینگن	391	1.43	बैंगन	noun	m.		eggplant, aubergine, brinjal		بینگن									
	biscoito	biskut	pt biscoito (Source: Dalgado) | en biscuit (Source: Dasa) .	بسکٹ	834	3.05	बिस्कुट	noun	m.		biscuit, cookie, cracker		بسکٹ									
	bomba	bamba	pt bomba (Source: Dalgado) .	بمبہ	0		बंबा	noun	m.	(Standard Urdu) IPA(key): /bəm.bᵊ/	pump; water pump & channel, narrow river, creek		بمبہ									
	botão	botan	pt botão (Source: Dalgado) | en button (Source: Platts, Qureshi) .	بٹن	5,675	20.77	बटन	noun	m.	(Standard Urdu) IPA(key): /bə.ʈən/	button (fastener) &  button (presser)		بٹن									
	botelha	botal	pt ? botelha (Source: Dalgado) | en bottle (Source: Dalgado, Platts, Qureshi) .	بوتَل	3,173	11.61	बोतल	noun	f.	(Standard Urdu) IPA(key): /boː.t̪əl/	bottle		بوتَل			بوتَل	بوتَل	بوتَل	بوتلیں	بوتلوں	بوتلو	
	caju	kāju	pt ? caju (Source: Platts) .	کاجو⁩			काजू	noun	m.		cashew nut											
	câmara	kamra	pt câmara (Source: Dalgado, Fallon, Platts) .	کمرہ 	20,964	76.72	कमरा	noun	m.	(Standard Urdu) IPA(key): /kəm.ɾɑ(ː)/	room		کمرہ 									
	camisa	qamīs	pt camisa (Source: Dalgado) | ar قميص ‘shirt’ & ‘gown’  (Source: Wiktionary) > fa قمیص (Source: Wiktionary) | lat camisia (Source:Wiktionary) > ar قميص ‘shirt’ & ‘gown’ (Source: Dalgado) .	قمیض	1,257	4.6	क़मीज़	noun	f.	(Standard Urdu) IPA(key): /qə.miːz/	shirt		قمیض									
	campo	kampo	pt campo (Source: Dalgado) | en camp (Source: Platts) .	کمپو			कंपू	noun	m.		encampment & tent & cantonment & camp 											
	candil	qandil	pt ? candil (Source: Dalgado) | lat candēla ‘a light made of wax or tallow' > grc κανδήλη ‘oil lamp' > ar قنديل  ‘lamp' (Source: Dalgado) | fa kandīl [arabicized] (Source: Platts)  .	قندیل			कंदील	noun	f.		a lantern											
	capitão	kaptān	pt capitão (Source: Dalgado) | en Captain [corr. from] (Source: Platts) .	کپتان	18,562	67.93	कप्तान	noun	m.	(Standard Urdu) IPA(key): /kəp.t̪ɑːn/	captain (of a ship)		کپتان									
	carabina	karbain	pt ? carabina (Source: Dalgado) | fr carabine (Source: Dalgado, Platts) .	کاربائن			कारबाइन	noun	f.		a carbine											
	carraguem	karanchī	pt carraguem (Source: Wiktionary) | fr carriage (Source: Wiktionary) .	کِران٘چی			किराँची	noun	f.		a cart used to carry loads, carriage of goods train & bullock cart											
	cartucho	tusdan	fa توشدان [corr. of] (Source: Platts) .	توسدان			तूसदान	noun	m.		cartridge											
	cartucho	kāratus	pt ? cartucho (Source: Dalgado) | en cartridge (Source: Platts) .	کارتوس	672	2.46	कारतूस	noun	m.		(firearms) cartridge		کارتوس									
	casa (de botão)	kāj	pt casa de botão (Source: Dalgado, Dasa) | sa काचः ‘a loop' (Source: Platts) .	کاج	N	N	काज	noun	m.		a buttonhole		کاج									
	católico	katholik	pt cruz (Source: Dalgado, McGregor) | en cross (Source: Dasa) .	کیتھولک	1,300	4.76	कैथोलिक	noun	m. or f.	(Standard Urdu) IPA(key): /ɡɪɾ.d͡ʒɑː/	Catholic, Roman Catholic		کیتھولک									
	chá	cāy	pt chá (Source: Dalgado) | fa cāʾe (Source: Qureshi) .	چائے	12,222	44.73	चाय	noun	f.	(Standard Urdu) IPA(key): /t͡ʃɑː.eː/	tea (plant, beverage) & cup of tea		چائے									
	chapa	chapa	pt ? chapa (Source: Dalgado)  | sa (Source: Platts) .	چھاپہ	N		छापा	noun			a seal, impression, stamp, or brand		چھاپہ									
	chave	cābī	pt chave (Source: Dalgado, Platts) .	چابی	1,799	6.58	चाबी	noun	f.	(Standard Urdu) IPA(key): /t͡ʃɑː.biː/	key 		چابی			چابی	چابی	چابی	چابیاں	چابیوں	چابیو	
	cocheiro	kochavān	pt cocheiro (Source: Dalgado) | en coachman (Source: Dalgado) . 	کوچبان	3	0.01	कोचवान	noun	m.	(Standard Urdu) IPA(key): /kɛː.t̪ʰoː.lɪk/	a coachman		کوچبان									
	coronel	karnal	en colonel [Qureshi uses کرنيل ] (Source: Platts, Qureshi) .	کرنل	6,681	24.45	कर्नल	noun	m.		colonel		کرنل									
	couve	gobhī	pt couve (Source: Dalgado) | sa गो+जिव्हा? (Source: Platts) .	گوبھی	744	2.72	गोभी	noun	f.		cabbage & cauliflower		گوبھی									
	cristão	kristān	en Christian (Source: Platts)  .	کرستان			क्रिस्तान	noun	m. or f.		christian		کرستان									
	cruz	krus		⁧کْرُوس⁩	3	0.01	क्रूस	noun	m.		the cross on which Jesus Christ was crucified & crucifix, cross		کمرہ 									
	da Silva	di Silwa		⁧ڈی سلوا⁩			डीसिल्वा	proper noun			a surname from Portuguese, equivalent to English D'Silva or Desilva											
	dezembro	disambar	en December (Source: Qureshi) .	دسمبر⁩ 	26,714	97.77	दिसंबर	noun	m.	(Standard Urdu) IPA(key): /d̪ɪ.səm.bəɾ/	December		دسمبر									
	espada	ispāt'	pt espada (Source: Dalgado, Qureshi, Platts) .	اسپات	7	0.03	इस्पात	noun	m.	(Standard Urdu) IPA(key): /ɪs.pɑːt̪/	steel		اسپات 									
	espital	aspatāl	pt espital (Source: McGregor) | en hospital (Source: Qureshi) .	اَسْپَتال⁩	22,471	82.24	अस्पताल	noun	m.	(Standard Urdu) IPA(key): /əs.pə.t̪ɑːl/	hospital		اَسْپَتال									
	estábulo	astabal	ar (Source: Qureshi) | la (Source: Platts) .	اَصْطَبَل	283	1.04	अस्तबल	noun	m.	(Standard Urdu) IPA(key): /əs.t̪ə.bəl/	stable (for a horse)		اَصْطَبَل									
	estirar	istrī	pt estirar (Source: Dalgado) .	استری	515	1.88	इस्तरी	noun	f.	(Standard Urdu) IPA(key): /ɪs.t̪ɾiː/	iron, press		استری									
	falto	fāltū	pt falto (Source: Dalgado) .	فالتو	0	0	फ़ालतू	adj.		(Standard Urdu) IPA(key): /fɑːl.t̪uː/	unnecessary, pointless & bad; not nice; of poor quality & useless, irrelevant, good-for-nothing (used for someone)		فالتو									
	fita	fītā	pt fita (Source: Dalgado, Platts) .	 ⁧فیتہ⁩	0	0	फ़ीता	noun	m.		lace; shoelace & tape; tape measure & ribbon											
	gentio	jento		⁧جینٹو⁩			जेंटू	noun	m.		Gentoo											
	gudão	godām	pt gudão (Source: Dalgado) | pt gudão ‘godown' (Source: Wiktionary) >  bn গুদাম ‘godown, warehouse' (Source McGregor) | en godown (Source: Dasa).	گودام	1,267	4.64	गोदाम	noun	m.		storage, godown		گودام									
	holandês	olandez	pt holandês (Source: Wiktionary) .	ولندیز			ओलंदेज़	noun	m. or f.		(dated) Dutchman; citizen of Holland 											
	igreja	girjā	pt igreja (Source: Dalgado, Fallon, Platts) .	⁧گِرْجا⁩	2,028	7.24	गिरजा	noun	m.	(Standard Urdu) IPA(key): /ɡoː.bʱiː/	church & chapel	girjā k., v. n. To have prayers (Christians).	گِرْجا 									
	inglês	aṅgrez	pt inglês (Source: Dalgado) | en English (Source: Platts) .	انگریز	6,218	22.76	अँग्रेज़	noun	m. or f.	(Standard Urdu) IPA(key): /əŋ.ɡɾeːz/	English person (Englishman or Englishwoman)		اَن٘گْریز									
	inglês	anglez	pt inglês (Source: Dalgado) | en English (Source: Platts) .	انگریز			अंग्रेज़	noun	m. or f.		English person (Englishman or Englishwoman)											
	janela	junglā	pt janela (Source: Dalgado) | जाङ्गल+कः (Source: Platts) .	جَن٘گْلا⁩			जंगला	noun	m.		fencing, railing & grille-fitted window											
	jogar	juā	pt jogar (Source: Dalgado) | sa द्यूत+कः (Source: Platts) .	جوا	1,845	6.75	जुआ	noun	m.	(Standard Urdu) IPA(key): /d͡ʒʊ.ɑː/, /d͡ʒʊ.wɑː/, /d͡ʒuː.ɑː/	gambling		جوا									
	jogar	joari	pt jogar (Source: Dalgado) |  sa द्यूत ‘gambling, game of dice' (Source: Dasa) | sa द्यूत+कारी(इन्)+कः (Source: Platts) .	جواری	233	0.85	जुआरी	noun	m.		gambler		جواری									
	leilão	nī'lām' 	pt leilão (Source: Dalgado, Fallon, Platts, Qureshi) .	 ⁧نیلام⁩			नीलाम	noun	m 	(Standard Urdu) IPA(key): /niː.lɑːm/	auction (a public event where goods are sold through bidding)					نِیلام	نِیلام	نِیلام	نِیلام	نِیلاموں	نِیلامو	
	linguiça	langucha	pt linguiça (Source: Dalgado) | sa लिङ्ग+उच्चयः (Source: Platts) .	لنگوچا			लंगूचा	noun	m.		a sausage											
	mármore	marmar	pt mármore (Source: Dalgado) | fa مرمر (Source: Platts, Qureshi) .	مرمر	486	1.78	मरमर	noun	m.		marble		مرمر									
	martelo	mārtol	pt martelo (Source: Dalgado, Platts) .	مارتول	0	0	मारतौल	noun			a heavy hammer, hammer 		مارتول									
	mastro	mastaul 	pt mastro (Source: Dalgado, Fallon) .	مستول	33	0.12	मस्तूल	noun	m.		mast		مستول									
	mês	mas	pt mês (Source: Dalgado, Fallon) .	ماس			मास	noun			month											
	mês	mas kabar	pt mês (Source: Dalgado, Fallon) .	ماس کَبار			मास-कबार	noun	m.		last day of a month, monthly statement		ماس کَبار									
	mesa	mez	pt mesa (Source: Dalgado) | fa میز (Source: Platts, Qureshi) .	میز			मेज़	noun	f.		table											
	mestiço	mastisa	pt mestiço (Source: Dalgado, Platts) .	مَستِیسا	0	0	मस्तीसा	noun	m. or f.		half-caste		مَستِیسا									
	mestre	mistri	pt mestre (Source: Dalgado) .	 ⁧مِسْتْری⁩			मिस्त्री	noun	m.	(Standard Urdu) IPA(key): /mɪs.t̪ɾiː/, /mɪs.t̪ə.ɾiː/	mechanic & artisan, craftsman					مِسْترِیو	مِسْترِیو	مِسْترِیو	مِسْترِیو	مِسْترِیوں	مِسْترِیو	
	mestre	mastri	pt mestre (Source: Dalgado) .	مستری	33	0.12	मिस्तरी	noun			skilled tradesman		مِستری									
	Moçambique	mausambī		 موسمبی			मुसंबी	noun	f.	(Standard Urdu) IPA(key): /mɔː.səm.biː/	mousambi					مَوسَمبی	مَوسَمبی	مَوسَمبی	مَوسَمبِیاں	مَوسَمبِیوں	مَوسَمبِیو	
	outubro	aktūbar	pt outubro (Source: Wiktionary) | en October (Source: Platts, Qureshi) .	اَکْتُوبَر⁩	22,398	81.97	अक्तूबर	noun	m.	(Standard Urdu) IPA(key): /ək.t̪uː.bəɾ/	October		اَکْتُوبَر									
	padre	pādrī	pt padre (Source: Dalgado, Fallon, Platts) .	پادْری⁩	3,217	11.77	पादरी	noun	m.	(Standard Urdu) IPA(key): /pɑːd̪.ɾiː/	Christian priest or minister; chaplain & christian convert .		پادری			پادری⁩	پادری⁩	پادری⁩	پادری⁩	پادریو	پادریو	
	pão	paoroti	pt pão (Source: Dalgado) | sa पद् (Source:Platts) .	پاؤ روٹی			पाव-रोटी	noun	f.		loaf of bread											
	papaia	papitā	pt papaia (Source: Dalgado)  .	پپیتا	352	1.29	पपीता	noun	m.		papaya		پپیتا									
	peru	pīrū	pt peru (Source: Dalgado, Platts) .	پیرو	N	N	पीरू	noun	m.	(Standard Urdu) IPA(key): /piː.ɾuː/	turkey		پیرو									
	pipa	pīpā	pt pipa (Source: Dalgado, Platts) .	پیپا	N		पीपा	noun	m.		cylinder, barrel, cask		پیپا‎									
	pires	pirič	pt pires (Source: Dalgado) .	پرچ	38	0.14	पिरिच	noun	m.		saucer  & a flat surface (as used in pressing out indigo)		پرچ									
	pistola	pistūl	pt pistola (Source: Dalgado, Platts) | en pistol (Source: Dalgado, Platts) .	پسطول	0		पिस्तौल	noun	f.		pistol, gun		پسطول									
	polícia	pulis	pt ? polícia (Source: Dalgado) | en police (Source: Dalgado) .	پولس	8,934	32.7	पुलिस	noun	f.	(Standard Urdu) IPA(key): /puː.lɪs/	the police		پولس									
	pompa	bamba	pt pompa (Source: Platts).	بمبہ⁩	0		बंबा	noun	m.		pump; water pump & channel, narrow river, creek		بمبہ			بمبا	بمبے	بمبے	بمبے	بمبوں	بمبو	
	prato	parāt	pt prato (Source: Dalgado) .	پرات	30	0.11	परात	noun	f.		receipt		پرات									
	prumo	prum	pt prumo (Source: Platts)	پرم 				noun	m.		Sounding lead: — prum ḍālnā, v.n. To heave the lead.											
	querubim	karobim	pt querubim (Source: Dalgado) .	کَرُوبِیم			करूबीम	noun			cherubim		کَرُوبِیم									
	recibo	rasīd	pt recibo (Source: Dalgado) | fa رسید (Source: McGregor)  .	رسید	1,914	7	रसीद	noun	f.	(Standard Urdu) IPA(key): /ɾə.siːd̪/	receipt		رسید									
	sabão	sābun	pt sabão (Source: Dalgado) | ine-pro *seyb- > gem-pro *saipǭ [borrowing] > la sāpō [borrowing] > grc σάπων [borrowing] > syc ܨܲܦ݁ܘܿܢܵܐ (Source:Wiktionary)  [borrowing] > ar صَابُون (Source: McGregor) |  ar صَابُون > fa صابون (Source: Wiktionary) .	صابن	1,632	5.97	साबुन	noun	m.	(Standard Urdu) IPA(key): /sɑː.bʊn/	soap		صابن									
	sagu	sāgū	pt ? sagu (Source: Dalgado) | ms > en sagu (Source: Qureshi) .	ساگو	11	0.04	सागू	noun	m.		sago		ساگو									
	saia	 sā'yah	pt saia (Source: Dalgado)  .	سایہ⁩	0	0	साया	noun	m.		petticoat		سايہ			سایہ⁩	سایے	سایے	سایے	سایوں	سایو	
	salada	salad	pt salada (Source: Dalgado) .	سلاد			सलाद	noun	m.	(Standard Urdu) IPA(key): /sə.lɑːd̪/	salad											
	salsaparrilha	salasa	pt ? salsaparrilha (Source: Platts) .	سالسا			सालसा	noun	m.		Indian sarsparilla											
	sapato	chapat	pt sapato (Source: Platts) .	چپات			चपात	noun	f.		 A shoe of the European fashion (having a heel-piece, in contradistinction to the Persian shoe).											
	setembro	sitambar	pt setembro (Source: McGregor) | en September (Source: McGregor) .	ستمبر	24,037	87.97	सितंबर	noun	m.		September		ستمبر									
	Sintra	saṅgtara	pt ? Sintra (Source: Platts) | pt Sintra (Source: Fallon)	 سنگتره				noun	m.		tangerine, a type of orange & breast											
	sorte	šart	pt sorte (Source: Dalgado) .	شرط	N	N	शर्ती	noun	f.	(Standard Urdu) IPA(key): /ʃəɾt̪/	condition, requirement & wager, bet 		شرط									
	tabaco	tanbâku	pt tabaco (Source: Dalgado) | pt tabaco (Source: Wiktionary) > fa تنباکو (Source: McGregor) | en tobacco (Source: Dasa) .	تنباکو	1,619	5.93	तंबाकू	noun	m.		tobacco		تنباکو									
	tambor	tanpūrā	pt tambor (Source: Dalgado) .	تنپورا	0	0	तंबूरा	noun	m.		tanpura		تنپورا									
	toalha	tauliya	pt toalha (Source: Dalgado) | en towel (Source: Platts) .	تَولِیَہ⁩	55		तौलिया	noun	m.	(Standard Urdu) IPA(key): /t̪ɔː.lɪ.jə/, /t̪oː.lɪ.jə/	towel		تَولِیَہ⁩			تَولِیہ⁩	تولیے	تولیے	تولیے	تولیوں	تولیو	
	toronja	tunaj	pt toronja (Source: Dalgado) | fa turanj (Source: Qureshi) .	ترنج	38	0.14	तुरंज	noun	m.		a kind of citron		ترنج									
	tufão	tūfān	pt ? tufão (Source: Dalgado) | ar طوفان (Source: Platts) .	طوفان	9,982	36.53	तूफ़ान	noun	m.	(Standard Urdu) IPA(key): /t̪uː.fɑːn/	storm, tempest & hurricane		طوفان									
	varanda	barāmdā	pt varanda (Source: Dalgado) | sa वरण्ड+कः (Source: Platts) .	برامدا			बरामदा	noun	m.		verandah											
	vermelho	baramā		ورمیلیو			वरमेल्हो	noun	m.		Malay red sandalwood											
	verruma	barma	pt verruma (Source: Dalgado) .	برما	4,930	18.04	बरमा	noun	m.	(Standard Urdu) IPA(key): /bəɾ.mɑː/	(tool) drill, borer		برما									
	ata	ata	pt ata (Source: Dalgado) | sa आ+तृप्य (Source: Platts) .	اتا			अता	noun	m.		Custard-apple (Anona squamosa), synonymous with شریفہ	آت	اتا									
	bálsamo	balasān	pt bálsamo (Source: Dalgado) .	بلسان				noun	m.		balsam		بلسان									
	bilimbim	bilimbī	pt bilimbim (Source: Dalgado) .	بلمبی			बिलिंबी	noun	f.		the fruit of Averrhoa bilimbi		بلمبی									
	boião	boyam	pt boião (Source: Dalgado) .	بويام			बोयाम	noun	m.		jar (for pickles)											
	calafate	kalapati	pt calafate 'caulker' (Source: Dalgado) .	کالاپتی			कलापट्टी	noun	f.		the act of caulking (a ship or boat): — kālā-pattī karna, v.t. To caulk (a ship, &c.) [Platts].		کالاپتی									
	cordão	kardhani	pt cordão 'silk rope, twist or braid' (Source: Dalgado) | sa कटि+धारणीयं (Source: Platts) .	کردهني			करधनी	noun	f.		cord of several strands of thread worn around the waist											