Etymon pt-PT	hiTenTen21 Relative (1)	Headword	Variant	Etymology Full (Work here)	Transliteration	Urdu 	Part of Speech	Pronunciation	Gender	Definition	hiTenTen21 Absolute (1)	Headword (Hi)	Etymon pt-PT New Spelling	DALGADO Pt-Lemma	Etymology	Etymology Free	Alternative Etymology (1)	Domain	ODomain	Lexical field	Grammar	direct singular	oblique singular	vocative singular	direct plural	oblique plural	vocative plural	Etymon pt-PT_1	
acalmaria		करमरिया		pt acalmaria (Source: Dasa)	karamriyā		noun	(Standard Hindi) IPA(key): /kə.ɾəm.ɾɪ.jɑː/, [kɐ.ɾɐ̃m.ɾi.jäː]	m.	(sailing) calming of the water waves due to decrease in winds				NA															
achar	8	अचार		pt achar (Source: Dalgado, Dasa, McGregor) .	achār	اچار	noun	(Delhi) IPA(key): /ə.t͡ʃɑːɾ/, [ɐ.t͡ʃäːɾ]	m.	achar (a spicy and salty pickle of Indian cuisine)	2,541	अचार		achar	achar (Source: Dalgado)	achar (Source: Dalgado)	 آچار Persian https://en.wiktionary.org/wiki/%D8%A2%DA%86%D8%A7%D8%B1#Persian (source: Wiktionary) 	culinary	culinary	food / preserves		अचार	अचार	अचार	अचार	अचारों	अचारो	achar	
agosto	97.61	अगस्त		pt agosto (Source:  McGregor) | en August (Source: McGregor, Platts).	agasta	اگست	noun	(Delhi Hindi) IPA(key): /ə.ɡəst̪/, [ɐ.ɡɐst̪]	m.	August	87,980	अगस्त		NA		agosto (Source:  W)	English August (Source: McGregor)	calendar	calendar	month	masc cons-stem	अगस्त	अगस्त	अगस्त	अगस्त	अगस्तों	अगस्तो	agosto	
aia	N	आया		pt aia (Source: Dalgado, Dasa, McGregor, Platts) .	āyā	آیا‎	noun	(Delhi Hindi) IPA(key): /ɑː.jɑː/, [äː.jäː]	f.	ayah: nurse maid, nurse	N	आया		aia	aia (Source: Dalgado)			occupations	occupations	domestic service / childcare	fem ā-stem	आया	आया	आया	आयाएँ	आयाओं	आयाओ	aia	
alfinete	0.03	आलपीन		pt alfinete (Source: Dalgado, Dasa, McGregor) | en ? pin (Source: McGregor) .	ālapīn 	آلپ 	noun	(Delhi Hindi) IPA(key): /ɑːl.piːn/, [äːl.pĩːn]	f.	safety pin & a pin	28	आलपीन		alfinete	alfinete (Source: Dalgado)			sewing	sewing	accessories	fem cons-stem	आलपीन	आलपीन	आलपीन	आलपीनें	आलपीनों	आलपीनो	alfinete	
almanaque.		आलमनक		pt almanaque (Source: Dasa)	ālamnak		noun	(Standard Hindi) IPA(key): /ɑː.ləm.nək/, [äː.lɐ̃m.nɐk]		almanac				NA															https://en.wiktionary.org/wiki/%E0%A4%95%E0%A4%B0%E0%A4%AE%E0%A4%B0%E0%A4%BF%E0%A4%AF%E0%A4%BE
ambar		अंबर		pt ambar (Source: Dalgado) | fa عنبر ‘ambergris’ (source:  Wiktionary) | pal ‘ambergris’ mbl (Source: Wiktionary) > ar عَنْبَر (Source: Dalgado, McGregor) .	ambar	عنبر	noun	(Delhi) IPA(key): /əm.bəɾ/, [ɐ̃m.bɐɾ]	m.	ambergris perfume		अंबर	âmbar	ambar	ambar (Source: Dalgado); Persian عنبر https://en.wiktionary.org/wiki/%D8%B9%D9%86%D8%A8%D8%B1#Persian (source:  Wiktionary); Arabic عَنْبَر https://en.wiktionary.org/wiki/%D8%B9%D9%86%D8%A8%D8%B1#Arabic (Source: Dalgado)	ambar (Source: Dalgado); Persian عنبر  (source:  Wiktionary); Arabic عَنْبَر  (Source: Dalgado)	Persian عنبر https://en.wiktionary.org/wiki/%D8%B9%D9%86%D8%A8%D8%B1#Persian (source:  Wiktionary); Arabic عَنْبَر https://en.wiktionary.org/wiki/%D8%B9%D9%86%D8%A8%D8%B1#Arabic (Source: Dalgado)	materials	materials	substances	masc cons-stem	अंबर	अंबर	अंबर	अंबर	अंबरों	अंबरो	ama	
amen		आमीन		pt amen (Source: Dalgado) | ar آمين ‘amen’ (Source: Dalgado, McGregor) .	āmīn	آمین	interjection			amen	1,001	आमीन	amém ou ámen	amen	amen (Source: Dalgado); Arabic آمين https://en.wiktionary.org/wiki/%D8%A2%D9%85%D9%8A%D9%86 (Source: Dalgado)	amen (Source: Dalgado); Arabic آمين  (Source: Dalgado)	Arabic آمين https://en.wiktionary.org/wiki/%D8%A2%D9%85%D9%8A%D9%86 (Source: Dalgado)	religion	religion	practices, beliefs and rituals								ambar	
ananás	2.82	अनन्नास		tpn naná ‘pineapple’ (Source: Wiktionary) > pt ananás ‘pineapple’ (Source: Dalgado, Dasa, McGregor, Platts) .	anannāsa	انناس	noun	(Delhi Hindi) IPA(key): /ə.nən.nɑːs/, [ɐ.nɐ̃n.näːs]	m.	pineapple (fruit)		अनन्नास		ananás	ananás (Source: Dalgado)	ananás (Source: Dalgado)		botany	botany	fruits	masc cons-stem	अनन्नास	अनन्नास	अनन्नास	अनन्नास	अनन्नासों	अनन्नासो	amen	
anis		अनीसून		pt ? anis (Source: Dalgado) | grc ἄνισον ‘anise (Pimpinella anisum)’ (Source: Dalgado) | grc ἄνισον (Source: Wiktionary) >  la anisum ‘anise (Pimpinella anisum)’  (Source: Dalgado) | ur (Source: Dasa).	anīsun	اَنِیسُون	noun		m.	aniseed		अनीसून		? anis	? anis (Source: Dalgado); Greek ἄνισον https://en.wiktionary.org/wiki/%E1%BC%84%CE%BD%CE%B9%CF%83%CE%BF%CE%BD (Source: Dalgado) ; Latin anisum https://en.wiktionary.org/wiki/anisum#Latin (Source: Dalgado)	? anis (Source: Dalgado); Greek ἄνισον  (Source: Dalgado) ; Latin anisum  (Source: Dalgado)	Greek ἄνισον https://en.wiktionary.org/wiki/%E1%BC%84%CE%BD%CE%B9%CF%83%CE%BF%CE%BD (Source: Dalgado) ; Latin anisum https://en.wiktionary.org/wiki/anisum#Latin (Source: Dalgado)											ananás	
armário	4.93	अलमारी		ine-pro *h₂(e)r-mo- ‘fitting’, *h₂er-mn-to- > itc-pro *armo-, *armnto- ‘weapons’ (Source: De Vaan) > la arma + -ārium ‘storage for weapons’ > pt armário [semantic broadening] (Source: Dalgado) .	alamārī	اَلْماری	noun	(Delhi Hindi) IPA(key): /əl.mɑː.ɾiː/, [ɐl.mäː.ɾiː]	f.	cupboard, shelf; almirah	4,445	अलमारी		armário	armário (Source: Dalgado)	armário (Source: Dalgado)		furniture	furniture	pieces of furniture	fem ī-stem	अलमारी	अलमारी	अलमारी	अलमारियाँ	अलमारियों	अलमारियो	anis	
armário		हलमरिया		pt armário (Source: Dasa)	halamriyā		noun	(Standard Hindi) IPA(key): /ɦə.ləm.ɾɪ.jɑː/, [ɦɐ.lɐ̃m.ɾi.jäː]	m.	(sailing) cell below ship's deck				NA				sailing											https://en.wiktionary.org/wiki/%E0%A4%B9%E0%A4%B2%E0%A4%AE%E0%A4%B0%E0%A4%BF%E0%A4%AF%E0%A4%BE
arrátel		रतल		pt arrátel (Source: Dalgado) | ar rat̤l (Source: McGregor) .	ratal	رطل	noun		m.	a pound weight	9	रतल		arrátel	arrátel (Source: Dalgado); Arabic rat̤l (Source: McGregor)	arrátel (Source: Dalgado); Arabic rat̤l (Source: McGregor)	Arabic rat̤l (Source: McGregor)											armário	
bacia ou bacio		बासन		pt bacia, bacio (Source: Dalgado) | sa भाजन ‘(arithmetic) dividing, sharing' & 'a vessel, pot, plate, cup (Source: Dalgado) | sa वासन (Source: Dasa, Platts).	bāsan	باسن	noun	(Delhi) IPA(key): /bɑː.sən/, [bäː.sɐ̃n]	m.	pot; any container 	5613	बासन		bacia ou bacio	bacia ou bacio (Source: Dalgado); Sanskrit भाजन https://kosha.app/word/sa/%E0%A4%AD%E0%A4%BE%E0%A4%9C%E0%A4%A8 (Source: Dalgado)	bacia ou bacio (Source: Dalgado); Sanskrit भाजन  (Source: Dalgado)	Sanskrit भाजन https://kosha.app/word/sa/%E0%A4%AD%E0%A4%BE%E0%A4%9C%E0%A4%A8 (Source: Dalgado)	household	household	tableware								arrátel	
bafo		भाप		pt ? bafo (Source: Dalgado) | sa वाष्प (Source: Dalgado, Dasa) | sa वप्प (Source: Dasa) .	bhāp	بھاپ	noun		m.	steam, water vapour  & vapour, gas	5890	भाप		? bafo	? bafo (Source: Dalgado); Sanksrit वाष्प https://en.wiktionary.org/wiki/%E0%A4%B5%E0%A4%BE%E0%A4%B7%E0%A5%8D%E0%A4%AA#Sanskrit (Source: Dalgado)	? bafo (Source: Dalgado); Sanksrit वाष्प  (Source: Dalgado)	Sanksrit वाष्प https://en.wiktionary.org/wiki/%E0%A4%B5%E0%A4%BE%E0%A4%B7%E0%A5%8D%E0%A4%AA#Sanskrit (Source: Dalgado)	sensoryPerception	sensory perception	smell								ata	
baixel		बजरा		pt ? baixel (Source: Dalgado) | ar بغلة (Source: Dalgado) | .	bajrā	بجرا	noun		m.	A kind of boat commonly used for travelling; a large kind of pleasure-boat (round-bottomed and keel-less, — commonly called 'budgerow').		बजरा		? baixel	? baixel (Source: Dalgado); Arabic بغلة https://en.wiktionary.org/wiki/%D8%A8%D8%BA%D9%84%D8%A9 (Source: Dalgado)	? baixel (Source: Dalgado); Arabic بغلة  (Source: Dalgado)	Arabic بغلة https://en.wiktionary.org/wiki/%D8%A8%D8%BA%D9%84%D8%A9 (Source: Dalgado)											bacia ou bacio	
balde	4.31	बालटी		pt balde (Source: Dalgado, McGregor) | en bucket (Source: Dasa) .	bālaṭī	بالٹی	noun	(Delhi Hindi) IPA(key): /bɑːl.ʈiː/, [bäːl.ʈiː]	f.	bucket, container	3,889	बालटी		balde	balde (Source: Dalgado)	balde (Source: Dalgado)		objects	objects	domestic items	fem ī-stem	बालटी	बालटी	बालटी	बालटियाँ	बालटियों	बालटियो	bafo	
baptismo	1.37	बाप्तिस्मा		pt ? baptismo (Source: Dalgado) | grc > pt baptismo (Source: McGregor) | en baptism (Source: Dalgado) .	bāptismā	بمبہ	noun	(Delhi Hindi) IPA(key): /bɑːp.t̪ɪs.mɑː/, [bäːp.t̪ɪs.mäː]	m. 	(Christianity) baptism	1231	बाप्तिस्मा		? baptismo	? baptismo (Source: Dalgado); English baptism (Source: Dalgado)	? baptismo (Source: Dalgado); English baptism (Source: Dalgado)	English baptism (Source: Dalgado)	religion	religion	practices, beliefs and rituals	masc ā-stem	बाप्तिस्मा	बाप्तिस्मे	बाप्तिस्मे	बाप्तिस्मे	बाप्तिस्मों	बाप्तिस्मो	baixel	
basta		बस		pt basta (Source: Dalgado) | fa بس ‘enough, sufficiently' (Source: Dalgado, Dasa, McGregor) .	bas	بس	adv.			merely, only	281570	बस		basta	basta (Source: Dalgado); Persian بس https://en.wiktionary.org/wiki/%D8%A8%D8%B3#Persian (Source: Dalgado; Wiktionary; McGregor)	basta (Source: Dalgado); Persian بس  (Source: Dalgado; Wiktionary; McGregor)	Persian بس https://en.wiktionary.org/wiki/%D8%A8%D8%B3#Persian (Source: Dalgado; Wiktionary; McGregor)											balde	
beringela		बैंगन		pt beringela (Source: Dalgado) | sa वङ्गन  (Source: Platts) |  fa بادنجان (Source: Soares) | sa वृन्ताक (Source:  Dasa).	baiṅgan	بینگن	noun	(Delhi) IPA(key): /bɛːŋ.ɡən/, [bɛ̃ːŋ.ɡɐ̃n]	m.	eggplant, aubergine, brinjal	4460	बैंगन		beringela	beringela (Source: Dalgado); Prakrit 𑀯𑀸𑀇𑀁𑀕𑀡 https://en.wiktionary.org/wiki/%F0%91%80%AF%F0%91%80%B8%F0%91%80%87%F0%91%80%81%F0%91%80%95%F0%91%80%A1#Prakrit, from Sanskrit वङ्गन https://en.wiktionary.org/wiki/%E0%A4%B5%E0%A4%99%E0%A5%8D%E0%A4%97%E0%A4%A8#Sanskrit (Source: Wiktionary);  Persian بادنجان https://en.wiktionary.org/wiki/%D8%A8%D8%A7%D8%AF%D9%86%D8%AC%D8%A7%D9%86#Persian (Source: Soares,  Wiktionary) 	beringela (Source: Dalgado); Prakrit 𑀯𑀸𑀇𑀁𑀕𑀡  from Sanskrit वङ्गन  (Source: Wiktionary);  Persian بادنجان  (Source: Soares,  Wiktionary) 	Prakrit 𑀯𑀸𑀇𑀁𑀕𑀡 https://en.wiktionary.org/wiki/%F0%91%80%AF%F0%91%80%B8%F0%91%80%87%F0%91%80%81%F0%91%80%95%F0%91%80%A1#Prakrit, from Sanskrit वङ्गन https://en.wiktionary.org/wiki/%E0%A4%B5%E0%A4%99%E0%A5%8D%E0%A4%97%E0%A4%A8#Sanskrit (Source: Wiktionary);  Persian بادنجان https://en.wiktionary.org/wiki/%D8%A8%D8%A7%D8%AF%D9%86%D8%AC%D8%A7%D9%86#Persian (Source: Soares,  Wiktionary) 											baptismo	
biscoito		बिस्कुट		pt biscoito (Source: Dalgado) | en biscuit (Source: Dasa) .	biskuṭ	بسکٹ	noun	(Delhi) IPA(key): /bɪs.kʊʈ/	m.	biscuit, cookie, cracker	4,128	बिस्कुट		biscoito	biscoito (Source: Dalgado); English biscuit (Source: Wiktionary)	biscoito (Source: Dalgado); English biscuit (Source: Wiktionary)	English biscuit (Source: Wiktionary)	culinary	culinary	food / baked goods								basta	
bomba	0.17	बंबा		pt bomba (Source: Dalgado, McGregor) .	bambā	بمبہ	noun	(Delhi) IPA(key): /bəm.bɑː/, [bɐ̃m.bäː]	m.	pump; water pump & channel, narrow river, creek	154	बंबा		bomba	bomba (Source: Dalgado)	bomba (Source: Dalgado)		military	military	weapons, explosives, devices								beringela	
botão		गुदाम		sk (Source: Dasa) | pt botão (Source: Dasa) | en button (Source: Dasa) > hi बुताम (Source: Dasa)	gudam		noun		m.	button				NA															
botão		बटन		pt botão (Source: Dalgado) | en button (Source: Dasa) .	baṭan	بٹن	noun		m.	button (fastener) &  button (presser)	17333	बटन		botão	botão (Source: Dalgado); English button (Source: Dasa)	botão (Source: Dalgado); English button (Source: Dasa)	English button (Source: Dasa)											biscoito	
botelha	24.63	बोतल		pt ? botelha (Source: Dalgado, McGregor) | en bottle (Source: Dalgado, Dasa, McGregor) .	bōtal	بوتَل	noun	IPA(key): [ˈbo(ː)t̪əl̪]	f.	bottle	22,198	बोतल		? botelha	? botelha (Source: Dalgado); English bottle (Source: Dalgado)	? botelha (Source: Dalgado); English bottle (Source: Dalgado)	English bottle (Source: Dalgado)	objects	objects	drinkware	fem cons-stem	बोतल	बोतल	बोतल	बोतलें	बोतलों	बोतलो	bomba	
caju	7.87	काजू		pt ?caju (Source: Platts) | kok काज्जु (Source: Dasa)	kājū	کاجو⁩	noun	(Delhi Hindi) IPA(key): /kɑː.d͡ʒuː/, [käː.d͡ʒuː]	m.	cashew nut	7090	काजू		NA				botany	botany	fruits	masc ū-stem	काजू	काजू	काजू	काजू	काजुओं	काजुओ	botão	
calafate		कलापट्टी		pt calafate (Source: Dalgado, Dasa) | ar (Source: Dalgado) .	kalāpaṭṭī		noun		m. and f.	caulker & act of caulking in ships	0	कलापट्टी		calafate	calafate (Source: Dalgado); Arabic (Source: Dalgado)	calafate (Source: Dalgado); Arabic (Source: Dalgado)	Arabic (Source: Dalgado)	nautics	nautics	nautical tools, components and materials								botelha	
câmara	95.94	कमरा		pt câmara (Source: Dalgado) .	kamarā	کِران٘چی	noun	(Delhi Hindi) IPA(key): /kəm.ɾɑː/, [kɐ̃m.ɾäː]	m.	room	86,477	कमरा		câmara	câmara (Source: Dalgado)	câmara (Source: Dalgado)		architecture	architecture	buildings	masc ā-stem	कमरा	कमरे	कमरे	कमरे	कमरों	कमरो	caju	
camisa		क़मीज़		pt camisa (Source: Dalgado) | ar قميص ‘shirt’ & ‘gown’  (Source: Wiktionary) > fa قمیص (Source: Wiktionary) | lat camisia (Source:Wiktionary) > ar قميص ‘shirt’ & ‘gown’ (Source: Dalgado) .	qamīz	قمیض	noun	(Delhi) IPA(key): /qə.miːz/, [qɐ.miːz], /kə.miːd͡ʒ/, [kɐ.miːd͡ʒ]	f.	shirt	2427	क़मीज़		camisa	camisa (Source: Dalgado); Persian قمیص https://en.wiktionary.org/wiki/%D9%82%D9%85%DB%8C%D8%B5#Persian (Source: Wiktionary); Arabic (Source: Dalgado)	camisa (Source: Dalgado); Persian قمیص  (Source: Wiktionary); Arabic (Source: Dalgado)	Persian قمیص https://en.wiktionary.org/wiki/%D9%82%D9%85%DB%8C%D8%B5#Persian (Source: Wiktionary); Arabic (Source: Dalgado)	clothing	clothing	clothing items								calafate	
campo		कंपू		pt campo (Source: Dalgado) | en camp (Source: McGregor, Platts) .	kampū		noun	(Delhi) IPA(key): /kəm.puː/, [kɐ̃m.puː]	m.	encampment & tent & cantonment & camp 	N	कंपू		campo	campo (Source: Dalgado); English camp (Source: McGregor)	campo (Source: Dalgado); English camp (Source: McGregor)	English camp (Source: McGregor)											câmara	
candil		कंडीलिया		pt candil (Source: Dasa) | hi कंडील 'lamp' (Source: Dasa)	kandilya		noun		m.	lighthouse				NA															
candil		कंदील		pt ? candil (Source: Dalgado) | lat candēla ‘a light made of wax or tallow' > grc κανδήλη ‘oil lamp' > ar قنديل  ‘lamp' (Source: Dalgado, Dasa)  .	kandīl	قندیل	noun		f.	a lantern	421	क़ंदील		? candil	? candil (Source: Dalgado); Arabic قنديل https://en.wiktionary.org/wiki/%D9%82%D9%86%D8%AF%D9%8A%D9%84#Arabic (Source: Dalgado)	? candil (Source: Dalgado); Arabic قنديل  (Source: Dalgado)	Arabic قنديل https://en.wiktionary.org/wiki/%D9%82%D9%86%D8%AF%D9%8A%D9%84#Arabic (Source: Dalgado)	objects	objects	domestic items / lighting								camisa	
capitão		कप्तान		pt capitão (Source: Dalgado) | en Captain (Source: Wiktionary) .	kaptān	کپتان	noun	(Delhi) IPA(key): /kəp.t̪ɑːn/, [kɐp.t̪ä̃ːn]	m.	captain (of a ship)	91962	कप्तान		capitão	capitão (Source: Dalgado); English Captain (Source: Wiktionary)	capitão (Source: Dalgado); English Captain (Source: Wiktionary)	English Captain (Source: Wiktionary)	nautics	nautics	military ranks and titles								campo	
carabina		कारबाइन		pt ? carabina (Source: Dalgado) | fr carabine (Source: Dalgado) | fa qarābīn (Source: McGregor) .	kaṛābīn	کاربائن	noun		f.	a carbine	94	कारबाइन		? carabina	? carabina (Source: Dalgado); French carabine (Source: Dalgado); Persian qarābīn (Source: McGregor)	? carabina (Source: Dalgado); French carabine (Source: Dalgado); Persian qarābīn (Source: McGregor)	French carabine (Source: Dalgado); Persian qarābīn (Source: McGregor)											candil	
carraguem	<0.01	किराँची		pt carraguem (Source: McGregor) | en carriage (Source: Dasa)	kirām̐cī	کِران٘چی	noun	(Delhi Hindi) IPA(key): /kɪ.ɾɑ̃ː.t͡ʃiː/, [kɪ.ɾä̃ː.t͡ʃiː]	f.	a cart used to carry loads, carriage of goods train & bullock cart	0	किराँची		NA	NA (Source: Dalgado); 						fem ī-stem	किराँची	किराँची	किराँची	किराँचियाँ	किराँचियों	किराँचियो	capitão	
cartucho		कारतूस		pt ? cartucho (Source: Dalgado) | pt cartucho (Source: Dasa) | fr cartouche (Source: McGregor) .	kārtūs	کارتوس	noun	(Delhi) IPA(key): /kɑːɾ.t̪uːs/, [käːɾ.t̪uːs]	m.	(firearms) cartridge	6780	कारतूस		? cartucho	? cartucho (Source: Dalgado); French cartouche (Source: McGregor)	? cartucho (Source: Dalgado); French cartouche (Source: McGregor)	French cartouche (Source: McGregor)											carabina	
cartucho		तूसदान		pt cartucho + दान [addition of suffix] (Source: Dasa)	tusadan		noun	(Standard Hindi) IPA(key): /t̪uːs.d̪ɑːn/, [t̪uːs.d̪ä̃ːn]	m.	cartridge				NA															
casa (de botão)		काज		pt casa de botão (Source: Dalgado, Dasa) | sa काचः ‘a loop' (Source: Platts) .	kāj	کاج	noun	(Delhi) IPA(key): /kɑːd͡ʒ/, [käːd͡ʒ]	m.	a buttonhole		काज		casa	casa (Source: Dalgado); Sanskrit काचः 'a loop' (Source: Platts)	casa (Source: Dalgado); Sanskrit काचः 'a loop' (Source: Platts)	Sanskrit काचः 'a loop' (Source: Platts)											carraguem	
católico		कैथोलिक		pt católico (Source: Dalgado) | en Catholic (Source: Dalgado) .	kaitholik	کیتھولک	noun	(Delhi) IPA(key): /kɛː.t̪ʰoː.lɪk/	m. or f.	Catholic, Roman Catholic	4099	कैथोलिक		católico	católico (Source: Dalgado); English Catholic (Source: Dalgado, Wiktionary)	católico (Source: Dalgado); English Catholic (Source: Dalgado, Wiktionary)	English Catholic (Source: Dalgado, Wiktionary)	religion	religion	practices, beliefs and rituals								cartucho	
chá		चाय		pt chá (Source: Dalgado) | fa cāʾe (Source: McGregor) .	cāy	چائے	noun	(Delhi) IPA(key): /t͡ʃɑːj/, [t͡ʃäːj], /t͡ʃɑː.eː/, [t͡ʃäː.eː]	f.	tea (plant, beverage) & cup of tea	64719	चाय		chá	chá (Source: Dalgado); Persian [P. cāʾe] (Source: McGregor)	chá (Source: Dalgado); Persian [P. cāʾe] (Source: McGregor)	Persian [P. cāʾe] (Source: McGregor)	culinary	culinary	drinks								casa	
chapa		छापा		pt ? chapa (Source: Dalgado) | sn चयन (Source: Dasa) .		چھاپہ	noun			a seal, impression, stamp, or brand	N	छापा		? chapa	? chapa (Source: Dalgado)	? chapa (Source: Dalgado)		materials	materials	construction								católico	
chave	7.86	चाबी		pt chave (Source: Dalgado, Dasa) .	cābī	چابی	noun	(Delhi Hindi) IPA(key): /t͡ʃɑː.biː/, [t͡ʃäː.biː]	f.	key 	7,089	चाबी		chave	chave (Source: Dalgado)	chave (Source: Dalgado)		objects	objects	artifact	fem ī-stem	चाबी	चाबी	चाबी	चाबियाँ	चाबियों	चाबियो	chá	
cocheiro		कोचवान		pt cocheiro (Source: Dalgado) | en coachman (Source: Dalgado) | ar (Source: Dasa).	kochvān	کوچبان	noun		m.	a coachman	196	कोचवान		cocheiro	cocheiro (Source: Dalgado); English coachman (Source: Dalgado)	cocheiro (Source: Dalgado); English coachman (Source: Dalgado)	English coachman (Source: Dalgado)											cifra	
coronel		कर्नल		pt coronel (Source: Dalgado) | en colonel (Source: Dasa) .	karnal	کرنل	noun		m.	colonel	11389	कर्नल		coronel	coronel (Source: Dalgado); English colonel (Source: D, Wiktionary)	coronel (Source: Dalgado); English colonel (Source: D, Wiktionary)	English colonel (Source: D, Wiktionary)	military	military	military ranks and titles								coche	
couve	7.8	गोभी		pt couve (Source: Dalgado) | sa गोजीह्विका ‘the uvula' (Source: Wiktionary) .	gobhī	گوبھی	noun	(Delhi Hindi) IPA(key): /ɡoː.bʱiː/	f.	cabbage & cauliflower	6,775	गोभी		couve	couve (Source: Dalgado); Sanksrit गोजीह्विका (Source: Wiktionary)	couve (Source: Dalgado); Sanksrit गोजीह्विका (Source: Wiktionary)	Sanksrit गोजीह्विका (Source: Wiktionary)	food	food	food / vegetables	fem ī-stem	गोभी	गोभी	गोभी	गोभियाँ	गोभियों	गोभियो	cocheiro	
cristão	0.06	क्रिस्तान		pt (Source: Dalgado, McGregor) | en (Source: Dasa)  .	kristāna	کِرسٹان	noun	(Delhi Hindi) IPA(key): /kɾɪs.t̪ɑːn/, [kɾɪs.t̪ä̃ːn]	m. or f.	christian	54	क्रिस्तान		NA	NA (Source: Dalgado); 			religion	religion	practices, beliefs and rituals								coronel	
cruz	0.82	क्रूस		itc-pro *kruk(-i)-? (Source: de Vaan) > la crux 'wooden frame, cross' (Source: de Vaan) > pt cruz (Source: Dalgado, McGregor) | en cross (Source: Dasa) .	krūsa	⁧کْرُوس⁩	noun	(Delhi Hindi) IPA(key): /kɾuːs/	m.	the cross on which Jesus Christ was crucified & crucifix, cross	735	क्रूस		cruz	cruz (Source: Dalgado)	cruz (Source: Dalgado)		religion	religion	practices, beliefs and rituals	masc cons-stem	क्रूस	क्रूस	क्रूस	क्रूस	क्रूसों	क्रूसो	couve	
cunha		कुनिया		pt cunha (Source: Dalgado) .			noun			wedge	24	कुनिया		cunha	cunha (Source: Dalgado)	cunha (Source: Dalgado)												cristão	
da Silva	0.06	डीसिल्वा		pt  da Silva (Source: Dalgado)  .	ḍīsilvā	⁧ڈی سلوا⁩	proper noun	(Delhi Hindi) IPA(key): /ɖiː.sɪl.ʋɑː/, [ɖiː.sɪl.ʋäː]		a surname from Portuguese, equivalent to English D'Silva or Desilva	54	डीसिल्वा		NA	NA (Source: Dalgado); 													cruz	
